,GEO.id,GEO.id2,population,sex_ratio,median_age,senior_ratio,%white,%black,%asian,%hispanic,fract,%poverty,%unemployment,median_income,gini,%no_high_school,%bachelor,%same_house,mean_bldg_age,%occupancy,%ownership
90,1400000US36005015500,36005015500,3178,71.0,33.1,27.8,7.8665827564505975,14.537444933920703,1.0698552548772813,59.97482693517936,0.39038320406856286,21.522970421648836,31.1,21136.0,0.4108039218875139,46.9,13.0,96.9,60.7116953762466,98.82139619220308,7.339449541284404
91,1400000US36005015700,36005015700,4054,69.8,27.8,5.8,8.584114454859398,26.097681302417364,0.41933892451899357,51.28268376911692,0.48150644639741386,14.923532313764184,22.6,33785.0,0.4225677436907246,34.3,8.6,81.4,36.59971202303816,92.80057595392368,13.73157486423584
92,1400000US36005015800,36005015800,1202,78.6,38.8,25.9,50.66555740432612,3.1613976705490847,2.579034941763727,35.02495840266223,0.5872637395799015,5.241264559068219,7.5,77045.0,0.3685984567363615,20.799999999999997,20.5,96.2,51.6600790513834,83.79446640316206,62.97169811320755
93,1400000US36005015900,36005015900,1420,59.2,38.5,31.7,19.929577464788732,8.028169014084508,1.4788732394366197,76.26760563380282,0.09372346756595906,28.661971830985916,13.1,16027.0,0.43141733179812036,38.1,16.9,84.1,47.51412429378531,90.5367231638418,1.87207488299532
94,1400000US36005016000,36005016000,4274,105.5,41.6,23.9,59.63968179691156,0.7487131492746841,3.1820308844174074,17.384183434721574,0.5969396525201953,1.6612072999532053,6.9,77216.0,0.38033567376390154,12.5,27.5,98.4,47.86427732079906,89.65922444183315,51.8348623853211
95,1400000US36005016100,36005016100,4140,81.7,33.2,17.2,9.130434782608695,24.97584541062802,0.6763285024154589,49.42028985507246,0.5535519498704753,26.111111111111114,17.8,12467.0,0.4388126284640048,48.6,9.9,94.7,48.98510755653613,96.58025372311087,1.8275271273557967
96,1400000US36005016200,36005016200,1969,80.1,41.4,35.4,52.92026409344845,6.9578466226510916,0.5586592178770949,31.74200101574403,0.5869045368266537,6.653123412899949,9.3,70682.0,0.41165455555770103,25.799999999999997,21.1,87.5,61.70062695924765,86.83385579937304,55.77617328519856
97,1400000US36005016300,36005016300,0,,,,,,,,0.0,,,,,,,,57.5416255758104,90.97984498389205,31.840014645732268
98,1400000US36005016400,36005016400,885,82.9,49.8,59.2,67.45762711864407,5.423728813559322,0.0,23.954802259887007,0.4764505729515784,3.954802259887006,14.6,60682.0,0.38370596539610624,18.200000000000003,22.5,94.4,65.49295774647888,84.50704225352112,63.33333333333333
99,1400000US36005016500,36005016500,1189,106.4,27.8,5.5,5.298570227081581,47.9394449116905,0.0,31.370899915895713,0.6123089350727619,16.82085786375105,11.0,26645.0,0.4199028734937331,39.0,15.6,80.8,53.93300248138958,90.07444168734492,3.8567493112947657
100,1400000US36005016600,36005016600,2252,89.1,39.2,28.4,43.87211367673179,6.705150976909414,7.726465364120781,39.87566607460036,0.5899320990380762,5.63943161634103,9.1,63421.0,0.4218440416083066,16.799999999999997,22.9,96.4,56.51392111368909,86.07888631090486,71.29380053908356
101,1400000US36005016700,36005016700,2733,81.6,26.7,5.2,5.122575923893158,34.68715697036224,0.0,31.46725210391511,0.7219932178283636,22.21002561287962,15.5,27222.0,0.3412132149568734,28.099999999999994,17.9,85.7,42.99240780911063,89.587852494577,6.416464891041162
102,1400000US36005016900,36005016900,1338,86.4,31.2,15.5,7.100149476831091,44.469357249626306,0.0,32.21225710014948,0.6358865048563213,21.823617339312406,25.2,27697.0,0.4359486204228984,28.299999999999997,13.6,86.0,48.44621513944223,90.2390438247012,13.024282560706402
103,1400000US36005017100,36005017100,0,,,,,,,,0.0,,,,,,,,57.5416255758104,90.97984498389205,31.840014645732268
