,GEO.id,GEO.id2,total_population,sex_ratio,median_age,senior_ratio,child_ratio,%white,%black,%asian,%hispanic,fract,%poverty,%unemployment,median_income,gini,%lower_high_school,%higher_bachelor,%live_same_house,mean_age,%occupancy,%ownership
0,1400000US36005000100,36005000100,7703,1251.4,30.7,0.5,5.2,9.90523172789822,62.91055432948202,1.5837985200571205,29.949370375178503,0.44647554076129137,0.0,,,,35.5,1.3,16.7,57.5416255758104,0.9097984498389206,0.3184001464573227
1,1400000US36005000200,36005000200,5403,96.9,37.3,21.1,33.3,34.59189339255969,17.434758467518048,3.7756801776790674,58.9302239496576,0.45933776825338385,11.364057005367387,7.7,72034.0,0.36249582303219285,76.6,15.7,94.9,51.31032171581769,0.9242627345844504,0.504713560551124
2,1400000US36005000400,36005000400,5915,95.9,36.4,15.0,35.6,28.26711749788673,29.010989010989015,0.6424344885883347,49.027895181741336,0.5601122123860923,6.91462383770076,9.5,74836.0,0.33998564196126546,83.3,23.2,93.0,34.767026773132926,0.9023015500234852,0.7303487766788131
3,1400000US36005001600,36005001600,5879,77.0,38.8,27.1,43.1,30.005102908657932,28.746385439700628,0.0,50.50178601803028,0.5432420514392982,11.29443782956285,8.7,32312.0,0.4503595064606627,70.1,13.3,93.7,40.17937438905181,0.9599217986314761,0.17617107942973523
4,1400000US36005001900,36005001900,2591,87.1,32.5,4.6,33.5,16.866074874565804,26.93940563489,2.122732535700502,40.293323041296794,0.6578783161318588,27.40254727904284,19.2,37936.0,0.39716425195916916,75.6,20.0,78.6,40.276663146779306,0.9514255543822597,0.09433962264150944
5,1400000US36005002000,36005002000,8516,63.3,35.5,17.6,40.7,25.51667449506811,33.5368717707844,1.9375293565054015,48.297322686707375,0.5760713924839844,28.452325035227805,17.2,18086.0,0.48110187069194865,65.2,9.4,89.4,58.94952681388013,0.9315457413249212,0.16119200812732815
6,1400000US36005002300,36005002300,4774,80.6,29.1,22.9,51.6,14.118139924591539,27.02136573104315,0.0,48.61751152073733,0.5911938076113651,24.42396313364055,18.9,14479.0,0.4115290758215746,53.7,4.4,93.1,58.35129740518962,0.966566866267465,0.009292720702116675
7,1400000US36005002400,36005002400,150,265.9,27.9,,32.7,27.333333333333332,48.0,0.0,0.0,0.6948888888888889,0.0,0.0,,0.0,100.0,63.7,100.0,20.0,1.0,15.24919243193355
8,1400000US36005002500,36005002500,5355,77.5,29.5,16.9,58.9,15.592903828197946,15.873015873015872,2.5396825396825395,52.53034547152195,0.564279951632069,23.548085901027076,9.4,17226.0,0.4551907051981128,56.3,8.2,90.5,59.327544621321756,0.8876025084418717,0.021739130434782608
9,1400000US36005002701,36005002701,3016,83.8,29.2,10.5,57.6,10.941644562334217,27.155172413793103,0.0,45.15915119363395,0.6246374332472613,22.446949602122015,15.2,20153.0,0.3877657925393897,60.1,8.9,94.9,62.04070796460177,0.9752212389380531,0.4151322803611674
10,1400000US36005002702,36005002702,4778,103.2,27.8,15.6,52.1,15.027208036835496,22.331519464210967,0.0,54.08120552532441,0.5084791533540869,25.17789870238594,10.6,17147.0,0.42015129241808447,49.3,7.0,84.8,55.25482093663912,0.9586776859504132,0.040948275862068964
11,1400000US36005002800,36005002800,5299,76.2,42.2,30.2,28.9,3.2458954519720704,64.18192111719192,1.7361766371013398,19.267786374787697,0.544143730131565,5.038686544631062,12.8,49529.0,0.3633131724645774,84.5,21.1,97.8,51.03734439834025,0.9684647302904564,0.14181662382176521
12,1400000US36005003100,36005003100,1466,110.3,34.8,17.0,38.8,16.234652114597544,19.64529331514325,2.1828103683492497,60.30013642564802,0.43275732427055075,8.2537517053206,6.6,37250.0,0.36712386038733347,52.1,7.6,94.6,62.91744840525328,0.9512195121951219,0.1952662721893491
13,1400000US36005003300,36005003300,3912,87.4,25.9,10.7,61.5,12.116564417177914,25.33231083844581,0.0,49.284253578732105,0.5847841547793795,26.07361963190184,18.5,19923.0,0.4176359475006518,54.3,9.6,87.7,52.09443099273608,0.9233252623083131,0.08916083916083917
14,1400000US36005003500,36005003500,3948,94.8,29.9,14.5,48.9,8.105369807497468,23.404255319148938,0.0,52.38095238095239,0.5152678847304728,18.79432624113475,11.8,26541.0,0.4146951519443276,50.4,10.2,92.7,60.75161059413028,0.9427344309234073,0.0683371298405467
15,1400000US36005003700,36005003700,246,108.5,51.6,2.3,10.0,37.80487804878049,13.821138211382115,0.0,54.47154471544715,0.3726948245092206,40.65040650406504,11.1,,0.3912921505919318,65.2,4.9,94.7,52.92372881355932,1.0,3.8769133301525973
16,1400000US36005003800,36005003800,1193,83.3,32.9,20.2,33.5,24.895222129086335,36.88181056160939,1.2573344509639564,39.983235540653816,0.6211857517553148,17.93797150041911,13.1,37685.0,0.48001211366566143,70.3,11.5,96.7,52.36720554272517,0.8545034642032333,0.4027027027027027
17,1400000US36005003900,36005003900,6614,113.8,29.2,12.2,48.8,16.419715754460235,12.745690958572725,0.0,59.11702449349864,0.43531383566705567,14.408829755065014,9.3,25990.0,0.4760477570835434,53.1,11.2,88.6,55.98444444444444,0.8453333333333334,0.0583596214511041
18,1400000US36005004001,36005004001,1419,90.7,39.4,28.2,37.6,22.339675828047923,11.064129668780831,17.547568710359407,41.93093727977449,0.6560893859187777,6.765327695560254,6.8,48056.0,0.3765088554281587,73.0,13.0,81.2,58.30601092896175,0.8925318761384335,0.4816326530612245
