,ALARM_BOX_LOCATION,location,lat,lon
51,FDR DR & E 6 ST,"FDR Dr & E 6th St, New York, NY 10009, USA",40.7216141,-73.9747562
52,IRT  1?2-3 - W 96 ST & BROADWAY,"2 W 96th St #1, New York, NY 10025, USA",40.79163260000001,-73.96502509999998
53,3 AVE & UNION ST,"3rd Ave & Union St, Brooklyn, NY 11215, USA",40.6783532,-73.9854606
54,BROOKVILLE BLVD & 247 ST,"Rockaway Tpk/Brookville Blvd, Queens, NY 11422, USA",40.640631,-73.743119
55,FOSTER AVE & ROGERS AVE,"Rogers Ave & Foster Ave, Brooklyn, NY 11226, USA",40.63843,-73.95115799999998
56,MACE AVE & BRONXWOOD AVE,"Mace Ave & Bronxwood Ave, The Bronx, NY 10467, USA",40.863104,-73.86166209999998
57,MYRTLE AVE & JAY ST,"Myrtle Ave & Jay St, Brooklyn, NY 11201, USA",40.6937224,-73.9872249
58,SHERIFF & RIVINGTON STS,"210 Joralemon St, Brooklyn, NY 11201, USA",40.69199589999999,-73.9904481
59,COURTLANDT AVE & E 157 ST,"E 157th St & Courtlandt Ave, The Bronx, NY 10451, USA",40.8222118,-73.91692320000001
60,4 AVE & 28 ST,"28th St & 4th Ave, Brooklyn, NY 11232, USA",40.6588265,-73.99981340000002
61,MERMAID AVE & W 17 ST,"W 17th St & Mermaid Ave, Brooklyn, NY 11224, USA",40.5766296,-73.98478070000002
62,BRIGHTWATER COURT & BRIGHTON 4 ST,"Brighton 4th St & Brightwater Ct, Brooklyn, NY 11235, USA",40.5757184,-73.9630083
63,CARPENTER AVE & 235 ST,"E 235th St & Carpenter Ave, The Bronx, NY 10466, USA",40.895794,-73.859445
64,BEDFORD AVE & AVENUE O,"Bedford Ave, Brooklyn, NY, USA",40.65378060000001,-73.956165
65,ANDREWS AVENUE & 180 ST,"Andrews Ave S & W 180th St, The Bronx, NY 10453, USA",40.85600609999999,-73.91215249999998
66,18TH AVE AND 211TH ST,"18th Ave & 211th St, Queens, NY 11360, USA",40.7820474,-73.7816158
67,POWELL BLVD & W 140 ST,"Adam Clayton Powell Jr Blvd & W 140th St, New York, NY 10030, USA",40.8185215,-73.94147219999998
68,35 AVE & 11 ST,"East 34th Street, FDR Drive & E 34th St, New York, NY 10016, United States",40.74407120000001,-73.9709392
